1,2,3,4,5,6,7,8,9,10,11,12
25,59.4,147.8,138.9,281.7,163.5,259.4,213.9,71.4,55.1,44.8,29.2
35,87.3,118.3,175.4,218.5,157.6,216.7,196.5,109.6,104.1,73.9,31.8
15.9,55.5,65,114.3,228.7,268.1,184.1,216.1,168.4,100.7,35.2,13.1
13.6,37.1,62.5,153.5,296.3,320.6,219.7,164,142.9,121.7,33.3,21.9
12.6,54.3,162.5,229.1,204.3,121.7,164,135.3,120.1,101.6,35.4,9.3
19.4,96.3,73.2,146.2,189,115.4,116.4,188.4,81.5,105.3,27.9,9.3
29.3,34.3,118.5,149.4,277.9,193.1,225.7,158,95.4,59.9,42.3,8.2
22.2,86.5,85.6,202.5,145.9,132.1,239.6,192.5,135.1,40.3,18.1,3.2
17.8,51.9,127,134.9,168.4,162.9,188.4,215.4,111.2,82.6,45.1,21
37,39.1,152,138.2,150.7,70,89.9,185,164.3,85,39.7,10.4
37.4,73.9,108.4,116.4,236.8,303.9,194.6,220.6,135.9,82,49.2,23.1